,model_nickname,model_path,dataset_name,iou,gutmask_precision,gutmask_recall,gutmask_f1,gutmask_perim_avg_precision,gutmask_perim_avg_recall,gutmask_perim_avg_f1,gutmask_perim_se_precision,gutmask_perim_se_recall,gutmask_perim_se_f1,gfp_gutmask_precision,gfp_gutmask_recall,gfp_gutmask_f1,rfp_gutmask_precision,rfp_gutmask_recall,rfp_gutmask_f1,gfp_gutmask_perim_avg_precision,gfp_gutmask_perim_avg_recall,gfp_gutmask_perim_avg_f1,rfp_gutmask_perim_avg_precision,rfp_gutmask_perim_avg_recall,rfp_gutmask_perim_avg_f1,gfp_gutmask_perim_se_precision,gfp_gutmask_perim_se_recall,gfp_gutmask_perim_se_f1,rfp_gutmask_perim_se_precision,rfp_gutmask_perim_se_recall,rfp_gutmask_perim_se_f1,iou_bm,bactmask_precision,bactmask_recall,bactmask_f1,gfp_bactmask_precision,gfp_bactmask_recall,gfp_bactmask_f1,rfp_bactmask_precision,rfp_bactmask_recall,rfp_bactmask_f1,bactmask_perim_avg_precision,bactmask_perim_avg_recall,bactmask_perim_avg_f1,gfp_bactmask_perim_avg_precision,gfp_bactmask_perim_avg_recall,gfp_bactmask_perim_avg_f1,rfp_bactmask_perim_avg_precision,rfp_bactmask_perim_avg_recall,rfp_bactmask_perim_avg_f1,bactmask_perim_se_precision,bactmask_perim_se_recall,bactmask_perim_se_f1,gfp_bactmask_perim_se_precision,gfp_bactmask_perim_se_recall,gfp_bactmask_perim_se_f1,rfp_bactmask_perim_se_precision,rfp_bactmask_perim_se_recall,rfp_bactmask_perim_se_f1
10,PT_s4ds50_FT_s5_64,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_4_v1.hdf5,6_4,0.9300303697197364,0.9551674803280068,0.9724817903165208,0.9637463760590966,0.9553155067490132,0.9724524810254164,0.9637959412806107,0.0015713527642293,0.001403995577109,0.00120420295523,0.9627404696427336,0.9778460135131724,0.9702339507590382,0.956914990040276,0.9725239418075354,0.9646558285931572,0.9610486707077924,0.9771427587472642,0.9690102173463848,0.9559957592414516,0.971317831454353,0.9635774601571292,0.0020827964220258,0.0015295826752,0.0014577925941608,0.0023746518731413,0.0027795098848501,0.0023358584421545,0.3966542818282745,0.4226803643267714,0.8656260992617512,0.5680059540873386,0.5999342739770777,0.8945385081567102,0.7181983609900371,0.4862584815876982,0.8727534237680536,0.6245470561309009,0.4244738045038919,0.8094244365379921,0.5408330179929178,0.5292775120146855,0.8272293550382334,0.6282316711418275,0.4372020607303068,0.8141409513733417,0.5545992054345416,0.0504892550072309,0.0604728475208896,0.0526765693246149,0.0614728189326855,0.062226020717396,0.059963593618791,0.0510585335327077,0.0607285502657603,0.0520857972227862
11,PT_s4ds50_FT_s5_64,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_4_v1.hdf5,6_6,0.481063451284241,0.7083645469097982,0.5998708962398238,0.6496184659040243,0.6296861938390343,0.5403166511368406,0.5765740057679023,0.0503410038598298,0.0522595295070701,0.0505522535277279,0.7294205785251596,0.6026721639800535,0.6600158299439203,0.7844461188353766,0.6604615503882479,0.7171339073222381,0.6508279042070192,0.551257088141219,0.5904615679400413,0.6700660177498475,0.5496851324887485,0.594226310668058,0.050420314212705,0.0517906749634352,0.0497894740802068,0.0532449615992908,0.0578830787839755,0.0551150778976496,0.2308236619887798,0.2547470576230266,0.7108083069545457,0.3750714745894631,0.3100256141485502,0.6679791720966073,0.4234957624591787,0.4669829244691859,0.772317472095374,0.5820360934596246,0.2268691946771806,0.5202437385941799,0.2939212072580423,0.2511536492555441,0.5023203493337117,0.3076894187072412,0.3236104562846724,0.5485947778673932,0.3903980762533584,0.0458708964808101,0.0740685259476138,0.0536387084154376,0.0500322822065803,0.0725786348570069,0.0541443173996876,0.0544873007858512,0.0777037999858054,0.0608706083617865
12,PT_s4ds50_FT_s5_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_6_v1.hdf5,set4_7_10,0.8159915807837759,0.8928080035009032,0.904616186793594,0.8986728082223666,0.8568682049638804,0.8685030784483787,0.8625012023134359,0.0248848482693759,0.0253448814592863,0.0250583214060022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT_s4ds50_FT_s5_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_6_v1.hdf5,5_24,0.4829152115548796,0.738235362170469,0.5826910442815012,0.6513047303092411,0.7317562807886118,0.581284917478554,0.6429193027091479,0.0139648819268149,0.0300645868611362,0.0235505533194479,0.7881741503077129,0.578031616334103,0.6669408894452789,0.7782897497531007,0.5716535702220708,0.6591562444913062,0.7794897402437172,0.6062091677167732,0.6731203094069272,0.7568101323291534,0.6114272434785804,0.6679824891640858,0.0126686739431802,0.0354883658769939,0.0269134128089307,0.0133248660769444,0.0301975342156359,0.0208617499317887,0.3617575176165694,0.4629111627651031,0.6234255144970376,0.5313092528293437,0.624247321144406,0.6013436448769883,0.6125809728017099,0.5911994682852417,0.5882983903441148,0.589744861590912,0.4659598403781058,0.6258996861472098,0.5119821751471864,0.5677510147693539,0.6421630814059086,0.5715118884353256,0.539357659533697,0.6502484460253661,0.5662596807639781,0.0386711937465242,0.031360755549403,0.0301940748115294,0.0428571594397634,0.0370293257760978,0.0321458727776685,0.0387841664912063,0.0349260725193737,0.0278714616627985
14,PT_s4ds50_FT_s5_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_6_v1.hdf5,6_4,0.4944408422306073,0.778684140266399,0.5752849901779721,0.6617063226319128,0.7781790691694005,0.5770923261438557,0.6563783950698708,0.0108558804097482,0.0330066654200013,0.0226694412064939,0.8249868380249847,0.6249834616939631,0.7111908076811626,0.7852206697829316,0.5783487563281117,0.6660915917739372,0.8079107686119839,0.6224068699581479,0.6978338534437875,0.7839653952658515,0.5867711743890348,0.6641454018514128,0.0182484703353055,0.0319016708209982,0.023545613767247,0.0105367014541803,0.0337885232308216,0.0233510170549439,0.3449861252284801,0.4290998936643557,0.6376706669602975,0.5129953318690279,0.5988893784830911,0.6660429595408657,0.6306831231210906,0.4950561351261482,0.6439467527870129,0.5597694512629736,0.4486981749849193,0.6211625008777845,0.490379929278888,0.5388700135538531,0.6479135992791399,0.560944329100773,0.4620427994172474,0.6353411481602559,0.5082387293740094,0.0557652150890204,0.0543828576750525,0.0462755376560325,0.0648111603987985,0.0591057646256036,0.054377228401298,0.0547384525701527,0.0550851815964372,0.0451518703561163
15,PT_s4ds50_FT_s5_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_6_6_v1.hdf5,6_6,0.9361497763436252,0.9669175759266688,0.967126574403383,0.9670215638727966,0.870195697964124,0.8704231523083168,0.8702908662267316,0.0648795488462833,0.0649415324570946,0.0649029458242207,0.9687932043401472,0.9720952087164422,0.9704408977047142,0.97276896259875,0.9762659391522934,0.9745138137234548,0.8712588433570115,0.8741323312109375,0.8726829155184678,0.8741319164653716,0.8772782110072223,0.8756896108637047,0.0649685415699677,0.065169075296956,0.065064298839511,0.0651786375361421,0.0653970791131037,0.0652822950840471,0.2487595965399434,0.2596509680980814,0.8557091021368491,0.3984103492752774,0.3344014081268517,0.8749999731410425,0.4838773722647533,0.4540383117711348,0.8950790052856423,0.6024677825860051,0.2329476072553808,0.6861128209366812,0.3218740990949199,0.2665213464087481,0.6941216664576907,0.3605623442287349,0.3321813972461939,0.7105287913243269,0.4315026705201704,0.0452585035504085,0.0772572666418022,0.0544402729321247,0.047725432184129,0.0781591664143568,0.0582965618285309,0.0539027851577002,0.080196871095034,0.0602845614587071
16,PT_s4ds50_FT_s5_comb_524_64_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_comb_5_24_6_4_6_6_v1.hdf5,set4_7_10,0.7335828380415301,0.8483609021710763,0.8442887200214063,0.8463194126646799,0.8145885705656675,0.8112930485080873,0.8122934658937667,0.023891247664893,0.02444882470511,0.0239417096155636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT_s4ds50_FT_s5_comb_524_64_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_comb_5_24_6_4_6_6_v1.hdf5,5_24,0.9337729420815474,0.966940378082486,0.9645673624854996,0.9657519125629106,0.9668457880064618,0.9643782769714044,0.9655908163889804,0.0027560495541808,0.0027620003792965,0.0025820954781091,0.9703040447436424,0.964489928730794,0.9673877509423472,0.972443738994287,0.96649714272356,0.9694608219661552,0.9720411834387752,0.9666230298239596,0.9692787983071248,0.9702826772709222,0.9657025876015674,0.9679439348670096,0.0025787961686723,0.0039776350803884,0.0030286184374388,0.002217655033039,0.0034957886815209,0.0025662289907083,0.4591141052164347,0.4995178093847804,0.8502120649629179,0.6293048136844847,0.6701025819808575,0.8749188605759053,0.7589344612049211,0.6538169675374907,0.8803680903280344,0.750364784224235,0.4981571180828953,0.8526549114597062,0.612729854825997,0.601809750930933,0.8760106459676189,0.6958523506531178,0.5835619459623475,0.8685197060539033,0.6855528205792653,0.036105109240222,0.0089512386780434,0.0301322564112465,0.0419956395231011,0.0078683477734055,0.0334693293324686,0.0371898543682433,0.0087918069480423,0.0279427868346089
18,PT_s4ds50_FT_s5_comb_524_64_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_comb_5_24_6_4_6_6_v1.hdf5,6_4,0.9358632453044246,0.967540211596818,0.9661990599960644,0.9668686707167604,0.9677436946407644,0.966232693703842,0.9669733807516356,0.0027053018395543,0.0014866953441837,0.0019590831804052,0.9749074448018714,0.971440147894825,0.9731702079635424,0.973427825795826,0.9680615601838956,0.9707367768301348,0.973303352447539,0.9696175497339528,0.9714418404147132,0.972910058081766,0.9663499378734434,0.9696102031963332,0.0019747776290272,0.0020082619371128,0.0017183295795508,0.001390139992494,0.0019299165408934,0.0015061871121205,0.3977892188471912,0.4262609204426169,0.856227997697368,0.569168660501519,0.6041131398535381,0.8837004355038022,0.7176365302832455,0.4909642611211885,0.8622764523917827,0.6256782023541627,0.4286453366739309,0.8016725235647236,0.542335903517243,0.5328590862445584,0.8174237302968733,0.6279332313071347,0.4419366092467185,0.807375026376033,0.556716956523435,0.0507567552399409,0.0602034924819542,0.0525498342040656,0.0616351512586319,0.0617924877051729,0.0596402079924483,0.0508517457742238,0.060552480109067,0.0514927231922153
19,PT_s4ds50_FT_s5_comb_524_64_66,models/bf_to_gut_tl/base_set4_50im_p256_v4_FT_set5_ds_comb_5_24_6_4_6_6_v1.hdf5,6_6,0.9281633426607429,0.9615750057844868,0.9639147962041128,0.9627429793780028,0.8655581564765166,0.867597982815821,0.8665398382119497,0.0645635067919244,0.0646874077853365,0.0646096049823823,0.9654536593550797,0.9676329091042788,0.966541555850648,0.966975001666884,0.9727868970890254,0.9698717426109008,0.8683331053497518,0.8705539813515097,0.8694273725095046,0.8683467437274945,0.874150670953024,0.8711686747532325,0.0647499632452018,0.0649093192544677,0.0648231248516126,0.0648459779256351,0.0651716773394871,0.0649797009409768,0.2484295430695503,0.2592414690983393,0.8562533775942711,0.3979869296440732,0.3351531991839042,0.8759610386791479,0.484811247180376,0.4565022325326223,0.9021023404126224,0.6062270618815765,0.2323015149965384,0.6884298500854876,0.3219215134156475,0.2672895855825574,0.6980132556019745,0.3620376333777828,0.331759697089555,0.7157814303088064,0.4329706288439477,0.0445782163583543,0.0774473852630159,0.0541059933672756,0.0474582971263579,0.0785248589395882,0.0581375297074806,0.0532054018172582,0.0805302029562309,0.0600365456775219
20,2ch_FT_s4ds50_v4,models/soph_bfrl_to_gut_tl/bfg_to_gut_mscarlet.h5,set4_7_10,0.925831107871896,0.961737321724316,0.961237474231329,0.961486833014312,0.8996577277889946,0.899212948197458,0.8994243848479814,0.0424462840039743,0.0424195960523497,0.042428628801854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2ch_FT_s4ds50_v4,models/soph_bfrl_to_gut_tl/bfg_to_gut_mscarlet.h5,5_24,0.0806794026948285,0.4432732660998463,0.0897763377998201,0.1493120922624444,0.4064805374275737,0.0875121952446619,0.1296832238001516,0.0733179446380037,0.020236860726632,0.0268101586288355,0.3352837905175252,0.2368324700671417,0.2775867597512849,0.801024387047459,0.1660584085366718,0.2750885404543879,0.4435341078988746,0.1656481925242843,0.2139564511725023,0.517081571166987,0.1229217252941031,0.1863890221439603,0.0840854754917758,0.0332116207065151,0.0408302542694802,0.0881159819064928,0.0306815169291599,0.0416472690741043,0.105005581430091,0.3700154514294522,0.1278655720362886,0.1900540093010529,0.2993187931368786,0.2777149787219445,0.288111969402855,0.7275958416990438,0.2043512776387159,0.3190845858704492,0.3405978615598473,0.1090077732486588,0.1470040804331318,0.3933492729909926,0.1896529450879451,0.2256722398784249,0.4518406700666477,0.1403733352746814,0.2004574991025314,0.0681526939726231,0.0231945630975091,0.0274152524101181,0.0789636519800358,0.0369249068069741,0.0424962041509664,0.0838688959466665,0.033982794940434,0.0433219200224398
22,2ch_FT_s4ds50_v4,models/soph_bfrl_to_gut_tl/bfg_to_gut_mscarlet.h5,6_4,0.3982097897085308,0.7702995946542895,0.451866517907068,0.5695990212863549,0.7768545227377496,0.4523759591467697,0.5612392807241166,0.0217491126641594,0.0328409289319804,0.028013301469711,0.7327825690604121,0.573307880417567,0.6433087386689111,0.7966508506415583,0.5007057116361688,0.6149231988068533,0.7680984616940272,0.5461087897896845,0.6225644685867049,0.7939469658957389,0.4770658738858424,0.5861785014886892,0.0399084076727021,0.0350264170946183,0.0333063894087686,0.0152099575263626,0.0330685177728124,0.0267836461338283,0.3229809398905295,0.4510293077703596,0.5321959626195627,0.4882619267755924,0.5299493016804435,0.6086690671932684,0.5665874934705001,0.5010424462763973,0.5561429908831577,0.527156298713496,0.4361759087225667,0.4820894468795793,0.4435351623178613,0.4990077604318436,0.5429155805389888,0.497226786469371,0.4542405199428178,0.507180975487166,0.465135883749797,0.0542773273446432,0.0554109596942315,0.04922375876535,0.0643589916104169,0.0617458097677359,0.059397975208617,0.0512151635742689,0.0565851794195174,0.0470152118205896
23,2ch_FT_s4ds50_v4,models/soph_bfrl_to_gut_tl/bfg_to_gut_mscarlet.h5,6_6,0.5252181935097641,0.7302561227693515,0.6516406838512216,0.6887117078384939,0.6493722827502798,0.5876839044351724,0.612080172133226,0.0505480928785039,0.0553492029499742,0.0523499865993749,0.751355987929711,0.6529759186979761,0.6987194619910728,0.7988619924195816,0.6917296901291,0.7414454195863333,0.6689910890892111,0.5947431331384135,0.625006736816091,0.6866357719443132,0.5983796006610441,0.6314727973879284,0.0517991403493823,0.0531528826971615,0.0514642973977151,0.0563661888038699,0.0621312695146305,0.0588129856005635,0.2309736402248866,0.251452206980275,0.7393171466055367,0.3752694607776644,0.3208406495847512,0.7271148652466579,0.4452245916444291,0.4612671884674106,0.7845627032274461,0.5809665416175193,0.2276189444451612,0.5719969238393212,0.2986671125143946,0.2591918298703628,0.5748270726332765,0.3260870480166519,0.3114640532120029,0.5526575696736916,0.3812652735552143,0.0476413015294639,0.0772986247948563,0.055660558694344,0.0508459770904944,0.0749295722777832,0.0572465542852271,0.0589732516998055,0.084561611357488,0.0653578442881512
24,2ch_PT_s4ds50_FT_s5_524,models/soph_bfrl_to_gut_tl/bfg_to_gut_exp1.h5,set4_7_10,0.6703013456383579,0.7987632935011222,0.8064965090159805,0.8026107741852728,0.7485004069210569,0.7548050606667879,0.7501290488267864,0.036175894824077,0.0377867884106114,0.036488538985319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
